DBN,School Name,Total Parent Response Rate,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,,,,,,,,,,,,
26Q435,Martin Van Buren High School,26%,82%,80%,91%,85%,93%,92%,90%,87%,91%,86%,89%,91%,91%,82%,91%,91%,88%,74%,,,,,,,,,,,,
26Q495,Bayside High School,20%,78%,78%,94%,86%,93%,92%,92%,90%,88%,89%,86%,90%,90%,93%,90%,92%,90%,71%,,,,,,,,,,,,
26Q566,"Queens High School Of Teaching, Liberal Arts And The Sciences",23%,88%,90%,96%,91%,95%,95%,94%,92%,95%,91%,93%,95%,93%,96%,97%,94%,94%,93%,,,,,,,,,,,,
27Q042,P.S./M.S 042 R. Vernam,36%,88%,92%,95%,90%,92%,93%,93%,90%,92%,90%,94%,90%,95%,89%,92%,92%,95%,90%,,,,,,,,,,,,
27Q043,P.S. 043,32%,88%,90%,95%,87%,91%,86%,84%,84%,95%,86%,93%,88%,88%,88%,94%,95%,96%,85%,,,,,,,,,,,,
27Q045,P.S. 045 Clarence Witherspoon,58%,88%,89%,97%,88%,93%,87%,81%,82%,95%,79%,89%,87%,88%,92%,92%,89%,89%,86%,,,,,,,,,,,,
27Q047,P.S. 047 Chris Galas,73%,95%,95%,98%,98%,99%,97%,95%,96%,96%,95%,97%,94%,96%,97%,99%,100%,99%,97%,,,,,,,,,,,,
27Q051,P.S. 051,70%,97%,97%,99%,97%,99%,98%,97%,98%,98%,97%,96%,99%,99%,98%,100%,100%,99%,91%,,,,,,,,,,,,
27Q053,M.S. 053 Brian Piccolo,53%,90%,93%,96%,93%,95%,96%,96%,95%,96%,95%,94%,95%,95%,95%,98%,97%,96%,86%,,,,,,,,,,,,
27Q056,P.S. 056 Harry Eichler,69%,95%,97%,99%,96%,98%,97%,97%,96%,97%,97%,96%,96%,98%,97%,96%,95%,96%,90%,,,,,,,,,,,,
27Q060,P.S. 060 Woodhaven,45%,93%,95%,97%,95%,96%,96%,96%,95%,97%,95%,93%,94%,94%,95%,97%,96%,96%,90%,,,,,,,,,,,,
27Q062,P. S. 62 - Chester Park School,96%,92%,93%,97%,93%,97%,97%,97%,97%,97%,95%,95%,97%,97%,98%,96%,96%,96%,90%,,,,,,,,,,,,
27Q063,P.S. 063 Old South,81%,88%,91%,96%,90%,95%,92%,92%,91%,95%,89%,93%,92%,92%,97%,95%,94%,95%,88%,,,,,,,,,,,,
27Q064,P.S. 064 Joseph P. Addabbo,68%,97%,97%,99%,95%,98%,98%,98%,99%,97%,97%,95%,99%,97%,97%,98%,97%,99%,90%,,,,,,,,,,,,
27Q065,P.S. 65 - The Raymond York Elementary School,50%,89%,90%,94%,92%,93%,97%,97%,94%,94%,92%,92%,96%,96%,98%,95%,95%,94%,88%,,,,,,,,,,,,
27Q066,P.S. 066 Jacqueline Kennedy Onassis,99%,94%,94%,99%,95%,97%,97%,96%,96%,96%,95%,96%,97%,95%,98%,97%,95%,96%,86%,,,,,,,,,,,,
27Q090,P.S. 090 Horace Mann,59%,92%,94%,98%,94%,97%,98%,96%,97%,96%,96%,94%,95%,97%,98%,98%,95%,96%,91%,,,,,,,,,,,,
27Q096,P.S. 096,71%,91%,95%,97%,93%,96%,96%,95%,96%,97%,93%,94%,97%,97%,97%,96%,96%,96%,91%,,,,,,,,,,,,
27Q097,P.S. 097 Forest Park,59%,92%,92%,98%,96%,96%,93%,94%,91%,95%,92%,94%,94%,96%,98%,96%,95%,97%,92%,,,,,,,,,,,,
27Q100,P.S. 100 Glen Morris,82%,93%,93%,97%,94%,96%,96%,95%,95%,95%,94%,93%,93%,92%,96%,94%,96%,96%,90%,,,,,,,,,,,,
27Q104,P.S. 104 The Bays Water,56%,95%,97%,98%,97%,98%,98%,98%,96%,96%,96%,96%,96%,97%,96%,96%,98%,97%,94%,,,,,,,,,,,,
27Q105,P.S. 105 The Bay School,62%,93%,90%,89%,85%,90%,92%,88%,85%,96%,87%,93%,93%,93%,80%,95%,97%,96%,90%,,,,,,,,,,,,
27Q106,Lighthouse Elementary School,47%,96%,96%,100%,93%,92%,92%,91%,88%,96%,97%,93%,93%,94%,94%,92%,91%,97%,89%,,,,,,,,,,,,
27Q108,P.S. 108 Captain Vincent G. Fowler,77%,94%,95%,98%,97%,98%,98%,97%,98%,97%,96%,97%,98%,97%,98%,98%,97%,98%,93%,,,,,,,,,,,,
27Q114,P.S./M.S. 114 Belle Harbor,57%,86%,91%,94%,86%,85%,72%,65%,62%,93%,82%,84%,71%,71%,96%,90%,89%,91%,91%,,,,,,,,,,,,
27Q123,P.S. 123,91%,94%,95%,97%,96%,98%,96%,96%,96%,96%,96%,95%,95%,96%,97%,98%,95%,96%,91%,,,,,,,,,,,,
27Q124,P.S. 124 Osmond A Church,68%,88%,92%,97%,92%,96%,95%,92%,93%,97%,93%,93%,94%,94%,95%,94%,96%,96%,88%,,,,,,,,,,,,
27Q137,M.S. 137 America'S School Of Heroes,43%,83%,87%,96%,89%,95%,95%,94%,94%,94%,92%,93%,94%,94%,93%,93%,93%,94%,83%,,,,,,,,,,,,
27Q146,P.S. 146 Howard Beach,76%,85%,87%,95%,89%,94%,89%,87%,86%,93%,86%,89%,88%,86%,88%,92%,90%,91%,92%,,,,,,,,,,,,
27Q155,P.S. 155,75%,92%,93%,97%,94%,97%,96%,97%,96%,97%,95%,93%,96%,95%,99%,98%,96%,98%,91%,,,,,,,,,,,,
27Q183,P.S. 183 Dr. Richard R. Green,23%,90%,91%,95%,92%,97%,91%,88%,86%,92%,87%,93%,91%,91%,86%,93%,87%,92%,90%,,,,,,,,,,,,
27Q197,P.S. 197 The Ocean School,46%,93%,92%,97%,91%,95%,93%,92%,91%,93%,90%,91%,92%,94%,92%,92%,92%,95%,95%,,,,,,,,,,,,
27Q202,J.H.S. 202 Robert H. Goddard,86%,86%,89%,97%,91%,95%,97%,94%,95%,94%,93%,93%,96%,95%,92%,96%,97%,96%,83%,,,,,,,,,,,,
27Q207,P.S. 207 Rockwood Park,85%,88%,89%,95%,89%,95%,92%,92%,91%,92%,93%,90%,91%,89%,96%,94%,95%,94%,93%,,,,,,,,,,,,
27Q210,J.H.S. 210 Elizabeth Blackwell,28%,79%,85%,96%,86%,90%,91%,90%,88%,94%,87%,88%,90%,91%,90%,91%,92%,94%,79%,,,,,,,,,,,,
27Q223,P.S. 223 Lyndon B. Johnson,83%,91%,94%,96%,92%,94%,94%,91%,90%,94%,89%,93%,92%,93%,94%,95%,94%,97%,91%,,,,,,,,,,,,
27Q226,J.H.S. 226 Virgil I. Grissom,59%,85%,85%,95%,91%,93%,92%,92%,90%,93%,91%,89%,90%,91%,91%,92%,93%,91%,84%,,,,,,,,,,,,
27Q232,P.S. 232 Lindenwood,87%,91%,92%,97%,94%,96%,95%,94%,94%,95%,94%,93%,95%,93%,97%,97%,96%,97%,92%,,,,,,,,,,,,
27Q253,P.S. 253,70%,89%,91%,93%,91%,93%,93%,90%,89%,92%,91%,91%,92%,92%,93%,94%,95%,95%,86%,,,,,,,,,,,,
27Q254,P.S. 254 - The Rosa Parks School,69%,95%,97%,99%,97%,98%,98%,98%,98%,98%,97%,96%,97%,97%,98%,96%,98%,99%,92%,,,,,,,,,,,,
27Q260,Frederick Douglass Academy Vi High School,32%,74%,84%,92%,80%,90%,90%,87%,84%,82%,84%,90%,92%,95%,90%,94%,88%,91%,71%,,,,,,,,,,,,
27Q261,Voyages Prep - South Queens,4%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,78%,,,,,,,,,,,,
27Q262,Channel View School For Research,64%,88%,89%,97%,93%,97%,97%,96%,95%,93%,93%,94%,95%,95%,95%,96%,95%,95%,85%,,,,,,,,,,,,
27Q273,P.S. 273,78%,96%,95%,97%,96%,97%,97%,98%,96%,95%,95%,94%,95%,96%,96%,96%,97%,98%,88%,,,,,,,,,,,,
27Q282,Knowledge And Power Preparatory Academy Vi,77%,95%,93%,97%,94%,97%,97%,96%,96%,97%,96%,97%,96%,97%,98%,96%,96%,96%,94%,,,,,,,,,,,,
27Q297,Hawtree Creek Middle School,96%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,98%,99%,99%,99%,99%,100%,100%,97%,,,,,,,,,,,,
27Q302,"Queens High School For Information, Research, And Technology",34%,97%,95%,97%,97%,99%,98%,98%,98%,97%,97%,96%,97%,98%,97%,97%,96%,95%,89%,,,,,,,,,,,,
27Q306,New York City Academy For Discovery,80%,95%,96%,99%,94%,97%,96%,96%,95%,97%,97%,96%,95%,96%,98%,96%,97%,97%,90%,,,,,,,,,,,,
27Q308,Robert H. Goddard High School Of Communication Arts And Technology,61%,85%,87%,94%,90%,95%,96%,96%,95%,94%,95%,94%,96%,96%,96%,96%,96%,96%,78%,,,,,,,,,,,,
27Q309,Academy Of Medical Technology: A College Board School,18%,90%,94%,99%,96%,94%,96%,93%,94%,98%,92%,94%,94%,93%,97%,96%,94%,97%,87%,,,,,,,,,,,,
27Q314,Epic High School - South,8%,76%,83%,94%,94%,89%,89%,94%,94%,87%,94%,88%,94%,100%,87%,94%,83%,82%,94%,,,,,,,,,,,,
27Q316,Queens Explorers Elementary School,100%,98%,98%,98%,98%,98%,98%,98%,97%,97%,98%,97%,98%,98%,98%,99%,99%,99%,92%,,,,,,,,,,,,
27Q317,Waterside Children'S Studio School,40%,99%,98%,99%,98%,99%,99%,99%,99%,99%,99%,97%,99%,99%,98%,99%,99%,99%,98%,,,,,,,,,,,,
27Q318,Waterside School For Leadership,75%,95%,94%,98%,96%,99%,97%,97%,97%,98%,97%,95%,99%,99%,98%,97%,98%,99%,96%,,,,,,,,,,,,
27Q319,Village Academy,80%,95%,96%,97%,96%,97%,97%,97%,96%,97%,96%,97%,96%,96%,97%,96%,97%,97%,87%,,,,,,,,,,,,
27Q323,Scholars' Academy,83%,93%,93%,98%,95%,97%,97%,97%,97%,96%,96%,94%,96%,96%,96%,97%,98%,98%,87%,,,,,,,,,,,,
27Q324,Rockaway Park High School For Environmental Sustainability,69%,81%,84%,91%,85%,89%,86%,85%,80%,85%,76%,85%,82%,80%,86%,91%,89%,90%,70%,,,,,,,,,,,,
27Q333,Goldie Maple Academy,80%,80%,81%,93%,84%,94%,90%,87%,86%,89%,81%,87%,87%,87%,92%,92%,89%,89%,90%,,,,,,,,,,,,
27Q334,Epic High School - North,42%,90%,90%,96%,95%,95%,95%,96%,94%,97%,93%,92%,98%,98%,97%,95%,91%,93%,85%,,,,,,,,,,,,
27Q351,Rockaway Collegiate High School,33%,90%,81%,90%,90%,91%,89%,86%,86%,93%,89%,93%,93%,88%,88%,93%,90%,92%,79%,,,,,,,,,,,,
27Q362,Wave Preparatory Elementary School,69%,94%,96%,98%,95%,98%,97%,96%,96%,96%,94%,94%,97%,96%,96%,96%,97%,96%,91%,,,,,,,,,,,,
27Q400,August Martin High School,63%,97%,97%,100%,99%,99%,100%,98%,99%,100%,99%,99%,98%,98%,100%,100%,99%,100%,96%,,,,,,,,,,,,
27Q475,Richmond Hill High School,10%,86%,83%,96%,88%,96%,93%,90%,91%,94%,89%,92%,93%,93%,88%,95%,95%,98%,82%,,,,,,,,,,,,
27Q480,John Adams High School,31%,83%,83%,95%,85%,94%,93%,91%,89%,89%,87%,91%,91%,90%,89%,91%,94%,94%,75%,,,,,,,,,,,,
27Q487,John Adams Yabc,20%,89%,81%,93%,93%,100%,96%,96%,92%,100%,96%,96%,100%,95%,100%,100%,96%,100%,84%,,,,,,,,,,,,
27Q650,"High School For Construction Trades, Engineering And Architecture",20%,80%,86%,96%,88%,93%,91%,89%,87%,91%,87%,88%,89%,89%,95%,93%,94%,96%,87%,,,,,,,,,,,,
28Q008,J.H.S. 008 Richard S. Grossley,32%,90%,90%,97%,93%,97%,96%,96%,91%,99%,94%,96%,97%,95%,94%,96%,96%,98%,90%,,,,,,,,,,,,
28Q040,P.S. 040 Samuel Huntington,73%,94%,97%,96%,97%,96%,97%,96%,95%,94%,94%,93%,96%,97%,93%,97%,96%,98%,92%,,,,,,,,,,,,
28Q048,P.S. 048 William Wordsworth,75%,92%,93%,95%,93%,93%,94%,92%,91%,94%,91%,92%,94%,94%,94%,93%,96%,96%,88%,,,,,,,,,,,,
28Q050,P.S. 050 Talfourd Lawn Elementary School,41%,94%,94%,98%,94%,98%,97%,96%,97%,97%,96%,97%,97%,97%,97%,98%,95%,97%,91%,,,,,,,,,,,,
28Q054,P.S. 054 Hillside,57%,94%,96%,97%,98%,98%,97%,96%,97%,97%,96%,95%,96%,94%,97%,97%,96%,99%,90%,,,,,,,,,,,,
28Q055,P.S. 055 Maure,74%,92%,91%,97%,93%,94%,96%,93%,94%,94%,94%,89%,93%,92%,97%,94%,95%,94%,89%,,,,,,,,,,,,
28Q072,Catherine & Count Basie Middle School 72,33%,89%,87%,98%,93%,95%,96%,92%,92%,93%,90%,91%,94%,94%,94%,91%,90%,95%,90%,,,,,,,,,,,,
28Q080,P.S. 80 The Thurgood Marshall Magnet School Of Multimedia And Communication,60%,92%,92%,95%,92%,94%,94%,91%,91%,96%,94%,92%,93%,94%,92%,94%,94%,94%,91%,,,,,,,,,,,,
28Q082,P.S. 082 Hammond,71%,94%,94%,98%,94%,97%,96%,96%,95%,96%,92%,94%,95%,94%,97%,95%,96%,97%,90%,,,,,,,,,,,,
28Q086,P.S. Q086,85%,92%,94%,97%,93%,96%,96%,96%,96%,95%,93%,93%,95%,94%,97%,95%,94%,95%,88%,,,,,,,,,,,,
28Q099,P.S. 099 Kew Gardens,54%,92%,93%,99%,96%,97%,95%,95%,93%,96%,92%,93%,93%,93%,98%,97%,96%,96%,93%,,,,,,,,,,,,
28Q101,P.S. 101 School In The Gardens,83%,92%,92%,97%,94%,97%,96%,97%,95%,97%,95%,95%,98%,98%,97%,97%,95%,94%,90%,,,,,,,,,,,,
28Q117,P.S. 117 J. Keld / Briarwood School,68%,94%,96%,98%,94%,97%,96%,95%,94%,97%,93%,94%,95%,95%,97%,95%,96%,97%,90%,,,,,,,,,,,,
28Q121,P.S. 121 Queens,63%,94%,94%,97%,93%,96%,96%,96%,96%,97%,95%,94%,96%,96%,96%,94%,97%,97%,93%,,,,,,,,,,,,
28Q139,P.S. 139 Rego Park,88%,95%,93%,97%,96%,97%,97%,96%,96%,96%,95%,95%,97%,98%,98%,98%,97%,98%,90%,,,,,,,,,,,,
28Q140,P.S. 140 Edward K Ellington,82%,93%,93%,96%,92%,95%,94%,92%,93%,92%,92%,93%,93%,92%,92%,94%,93%,94%,88%,,,,,,,,,,,,
28Q144,P.S. 144 Col Jeromus Remsen,80%,92%,92%,97%,95%,97%,96%,97%,96%,96%,95%,93%,96%,96%,97%,97%,96%,95%,91%,,,,,,,,,,,,
28Q157,J.H.S. 157 Stephen A. Halsey,49%,82%,87%,96%,89%,95%,96%,96%,95%,94%,94%,90%,95%,93%,96%,96%,96%,97%,82%,,,,,,,,,,,,
28Q160,P.S. 160 Walter Francis Bishop,29%,91%,93%,100%,93%,99%,97%,95%,96%,98%,97%,95%,96%,97%,96%,96%,95%,98%,97%,,,,,,,,,,,,
28Q161,P.S. 161 Arthur Ashe School,74%,94%,95%,97%,96%,96%,97%,97%,97%,97%,98%,97%,98%,98%,99%,98%,99%,99%,93%,,,,,,,,,,,,
28Q167,Metropolitan Expeditionary Learning School,57%,92%,92%,98%,97%,99%,98%,98%,99%,98%,97%,96%,99%,97%,99%,98%,98%,98%,91%,,,,,,,,,,,,
28Q174,P.S. 174 William Sidney Mount,45%,92%,94%,98%,92%,93%,88%,91%,89%,96%,92%,89%,89%,90%,97%,92%,90%,94%,93%,,,,,,,,,,,,
28Q175,P.S. 175 The Lynn Gross Discovery School,65%,94%,94%,98%,95%,98%,97%,96%,97%,97%,98%,96%,96%,97%,98%,96%,97%,97%,93%,,,,,,,,,,,,
28Q182,P.S. 182 Samantha Smith,65%,95%,94%,96%,93%,95%,95%,94%,94%,97%,94%,95%,95%,93%,97%,95%,94%,95%,88%,,,,,,,,,,,,
28Q190,J.H.S. 190 Russell Sage,52%,79%,75%,94%,83%,92%,93%,91%,91%,92%,88%,86%,92%,90%,93%,89%,93%,91%,80%,,,,,,,,,,,,
28Q196,P.S. 196 Grand Central Parkway,82%,95%,94%,98%,95%,98%,97%,97%,97%,97%,97%,95%,97%,98%,98%,97%,96%,96%,94%,,,,,,,,,,,,
28Q206,P.S. 206 The Horace Harding School,53%,94%,93%,98%,93%,97%,97%,97%,95%,96%,95%,95%,98%,99%,99%,97%,92%,97%,88%,,,,,,,,,,,,
28Q217,J.H.S. 217 Robert A. Van Wyck,62%,89%,90%,96%,92%,96%,96%,95%,95%,94%,95%,92%,97%,96%,95%,93%,95%,97%,77%,,,,,,,,,,,,
28Q220,P.S. 220 Edward Mandel,61%,96%,97%,98%,98%,98%,98%,98%,97%,97%,97%,95%,96%,97%,98%,98%,96%,96%,90%,,,,,,,,,,,,
28Q284,York Early College Academy,100%,92%,93%,97%,95%,98%,97%,96%,96%,97%,95%,95%,96%,96%,96%,97%,97%,97%,83%,,,,,,,,,,,,
28Q287,The Emerson School,35%,89%,86%,94%,90%,93%,92%,92%,88%,92%,92%,90%,89%,90%,87%,93%,92%,92%,81%,,,,,,,,,,,,
28Q303,The Academy For Excellence Through The Arts,89%,95%,94%,98%,96%,99%,97%,97%,98%,97%,95%,96%,96%,95%,99%,99%,100%,100%,93%,,,,,,,,,,,,
28Q310,Queens Collegiate: A College Board School,20%,79%,84%,97%,93%,96%,97%,96%,94%,94%,94%,91%,96%,97%,95%,94%,93%,96%,84%,,,,,,,,,,,,
28Q312,Jamaica Children'S School,100%,98%,96%,97%,96%,97%,95%,97%,97%,97%,96%,95%,96%,97%,95%,97%,97%,96%,98%,,,,,,,,,,,,
28Q325,Hillside Arts & Letters Academy,33%,91%,87%,96%,90%,95%,95%,94%,94%,94%,94%,92%,95%,93%,96%,95%,97%,95%,80%,,,,,,,,,,,,
28Q328,High School For Community Leadership,19%,90%,92%,97%,95%,97%,97%,97%,99%,95%,95%,97%,97%,97%,99%,99%,96%,99%,86%,,,,,,,,,,,,
28Q332,Redwood Middle School,17%,78%,86%,94%,86%,94%,90%,86%,86%,88%,88%,82%,81%,79%,88%,92%,90%,90%,92%,,,,,,,,,,,,
28Q338,Queens Satellite High School For Opportunity,21%,97%,100%,100%,100%,100%,100%,100%,100%,100%,97%,97%,100%,100%,100%,100%,100%,100%,91%,,,,,,,,,,,,
28Q349,The Queens School For Leadership And Excellence,69%,98%,97%,97%,96%,99%,98%,99%,98%,97%,99%,95%,96%,96%,97%,99%,97%,98%,98%,,,,,,,,,,,,
28Q350,Jamaica Gateway To The Sciences,17%,83%,87%,98%,91%,99%,95%,95%,95%,96%,96%,92%,95%,91%,95%,94%,99%,95%,82%,,,,,,,,,,,,
28Q354,The Jermaine L. Green Stem Institute Of Queens,50%,92%,92%,98%,91%,91%,89%,90%,88%,95%,95%,95%,89%,91%,96%,95%,95%,98%,91%,,,,,,,,,,,,
28Q358,M.S. 358,72%,90%,91%,97%,93%,96%,97%,96%,96%,96%,96%,93%,97%,98%,97%,96%,97%,96%,82%,,,,,,,,,,,,
28Q440,Forest Hills High School,24%,78%,76%,95%,83%,91%,91%,90%,89%,92%,90%,88%,93%,90%,94%,90%,94%,93%,77%,,,,,,,,,,,,
28Q505,Hillcrest High School,36%,98%,97%,97%,97%,98%,98%,99%,99%,99%,99%,99%,100%,100%,99%,99%,99%,100%,97%,,,,,,,,,,,,
28Q620,Thomas A. Edison Career And Technical Education High School,64%,82%,82%,93%,86%,93%,93%,91%,92%,90%,90%,90%,93%,91%,91%,91%,92%,88%,65%,,,,,,,,,,,,
28Q680,Queens Gateway To Health Sciences Secondary School,20%,85%,85%,96%,85%,92%,80%,80%,77%,93%,85%,82%,82%,86%,97%,86%,91%,88%,79%,,,,,,,,,,,,
28Q686,Queens Metropolitan High School,28%,85%,88%,95%,91%,96%,94%,94%,93%,95%,93%,92%,95%,94%,98%,97%,95%,95%,82%,,,,,,,,,,,,
28Q687,Queens High School For The Sciences At York College,32%,87%,86%,97%,94%,94%,97%,94%,94%,95%,96%,94%,95%,95%,95%,96%,96%,93%,79%,,,,,,,,,,,,
28Q690,High School For Law Enforcement And Public Safety,20%,84%,82%,92%,83%,89%,92%,87%,87%,91%,84%,88%,86%,90%,85%,91%,92%,92%,81%,,,,,,,,,,,,
28Q896,"Young Women'S Leadership School, Queens",56%,89%,87%,97%,92%,97%,97%,96%,96%,94%,97%,92%,98%,97%,96%,96%,97%,97%,84%,,,,,,,,,,,,
29Q015,P.S. 015 Jackie Robinson,67%,93%,95%,98%,97%,97%,95%,95%,94%,98%,95%,94%,97%,97%,97%,99%,93%,94%,95%,,,,,,,,,,,,
29Q033,P.S. 033 Edward M. Funk,63%,95%,96%,98%,95%,98%,98%,98%,99%,96%,96%,95%,98%,97%,99%,97%,97%,98%,92%,,,,,,,,,,,,
29Q034,P.S. 034 John Harvard,31%,96%,97%,99%,95%,95%,97%,96%,95%,98%,99%,98%,98%,99%,98%,96%,97%,98%,91%,,,,,,,,,,,,
29Q035,P.S. 035 Nathaniel Woodhull,42%,95%,96%,99%,97%,99%,98%,97%,96%,96%,95%,95%,97%,96%,97%,96%,97%,98%,94%,,,,,,,,,,,,
29Q036,P.S. 036 Saint Albans School,57%,91%,95%,97%,91%,97%,92%,93%,92%,96%,90%,93%,94%,93%,95%,94%,93%,95%,91%,,,,,,,,,,,,
29Q037,Cynthia Jenkins School,57%,89%,90%,96%,92%,96%,95%,92%,91%,93%,89%,91%,90%,91%,95%,93%,90%,93%,92%,,,,,,,,,,,,
29Q038,P.S. 038 Rosedale,81%,94%,96%,98%,99%,99%,97%,97%,96%,97%,97%,94%,97%,97%,96%,100%,99%,99%,96%,,,,,,,,,,,,
29Q052,P.S. 052 Queens,80%,89%,90%,95%,89%,93%,94%,93%,94%,96%,92%,93%,93%,94%,95%,92%,90%,94%,91%,,,,,,,,,,,,
29Q059,I.S. 059 Springfield Gardens,25%,90%,88%,94%,92%,98%,96%,96%,97%,97%,95%,94%,93%,95%,94%,93%,92%,94%,93%,,,,,,,,,,,,
29Q095,P.S. 095 Eastwood,94%,99%,100%,100%,99%,100%,100%,100%,100%,100%,100%,99%,100%,100%,100%,100%,100%,100%,99%,,,,,,,,,,,,
29Q109,Jean Nuzzi Intermediate School,42%,80%,79%,94%,85%,94%,91%,91%,89%,90%,86%,88%,91%,88%,88%,90%,92%,94%,83%,,,,,,,,,,,,
29Q116,P.S./I.S. 116 William C. Hughley,39%,92%,90%,96%,91%,96%,92%,90%,91%,95%,91%,94%,93%,94%,88%,93%,94%,96%,87%,,,,,,,,,,,,
29Q118,P.S. 118 Lorraine Hansberry,50%,89%,95%,97%,93%,96%,95%,93%,93%,94%,94%,92%,94%,94%,94%,89%,93%,96%,94%,,,,,,,,,,,,
29Q131,P.S. 131 Abigail Adams,90%,93%,94%,98%,94%,96%,96%,96%,96%,97%,96%,93%,97%,96%,97%,95%,93%,96%,91%,,,,,,,,,,,,
29Q132,P.S. 132 Ralph Bunche,84%,98%,98%,100%,99%,99%,98%,97%,98%,99%,98%,100%,98%,98%,99%,100%,100%,100%,98%,,,,,,,,,,,,
29Q134,P.S. 134 Hollis,40%,93%,94%,95%,89%,97%,95%,95%,90%,93%,94%,91%,93%,90%,93%,93%,94%,96%,94%,,,,,,,,,,,,
29Q135,The Bellaire School,57%,93%,96%,98%,95%,97%,98%,96%,96%,97%,95%,97%,97%,96%,95%,95%,95%,98%,91%,,,,,,,,,,,,
29Q136,P.S. 136 Roy Wilkins,63%,98%,99%,99%,98%,99%,99%,98%,99%,99%,99%,97%,99%,98%,99%,98%,99%,99%,96%,,,,,,,,,,,,
29Q138,P.S./M.S. 138 Sunrise,63%,94%,94%,98%,94%,98%,98%,95%,96%,97%,95%,96%,97%,97%,96%,97%,96%,97%,92%,,,,,,,,,,,,
29Q147,P.S./M.S. 147 Ronald Mcnair,43%,87%,89%,95%,89%,94%,94%,90%,91%,93%,91%,90%,93%,95%,91%,93%,88%,93%,87%,,,,,,,,,,,,
29Q156,P.S. 156 Laurelton,66%,91%,93%,99%,92%,95%,96%,94%,96%,96%,93%,92%,98%,97%,98%,93%,92%,95%,87%,,,,,,,,,,,,
29Q176,P.S. 176 Cambria Heights,39%,90%,94%,97%,94%,95%,91%,96%,94%,96%,93%,93%,97%,98%,98%,95%,97%,97%,95%,,,,,,,,,,,,
29Q181,P.S. 181 Brookfield,56%,90%,95%,97%,93%,96%,92%,91%,90%,94%,92%,93%,90%,93%,98%,94%,93%,94%,92%,,,,,,,,,,,,
29Q192,I.S. 192 The Linden,45%,87%,89%,95%,92%,95%,97%,93%,95%,96%,93%,94%,96%,96%,95%,95%,92%,94%,91%,,,,,,,,,,,,
29Q195,P.S. 195 William Haberle,88%,99%,97%,97%,99%,100%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,97%,98%,,,,,,,,,,,,
29Q208,P.S./I.S. 208,79%,92%,93%,97%,92%,96%,93%,93%,92%,97%,94%,94%,94%,93%,97%,93%,94%,95%,93%,,,,,,,,,,,,
29Q238,I.S. 238 - Susan B. Anthony Academy,29%,82%,79%,95%,87%,95%,97%,96%,94%,91%,95%,87%,94%,94%,92%,94%,90%,90%,87%,,,,,,,,,,,,
29Q243,Institute For Health Professions At Cambria Heights,16%,81%,86%,95%,92%,97%,95%,93%,92%,94%,90%,89%,94%,91%,88%,95%,90%,91%,76%,,,,,,,,,,,,
29Q248,Queens Preparatory Academy,20%,93%,86%,94%,87%,90%,88%,86%,86%,92%,89%,92%,87%,85%,90%,92%,85%,89%,87%,,,,,,,,,,,,
29Q251,P.S. 251 Queens,44%,92%,90%,97%,90%,96%,93%,90%,89%,96%,90%,90%,90%,91%,97%,92%,90%,94%,93%,,,,,,,,,,,,
29Q259,Pathways College Preparatory School: A College Board School,42%,80%,82%,94%,88%,95%,95%,92%,91%,94%,91%,92%,92%,90%,91%,93%,84%,87%,87%,,,,,,,,,,,,
29Q265,Excelsior Preparatory High School,13%,93%,93%,96%,90%,97%,98%,97%,97%,93%,91%,95%,96%,96%,95%,100%,98%,96%,85%,,,,,,,,,,,,
29Q268,P.S./I.S. 268,56%,93%,93%,98%,95%,97%,95%,95%,93%,97%,94%,93%,95%,95%,96%,97%,97%,97%,94%,,,,,,,,,,,,
29Q270,The Gordon Parks School,50%,85%,89%,97%,88%,97%,94%,90%,89%,90%,91%,88%,91%,93%,95%,92%,86%,91%,97%,,,,,,,,,,,,
29Q272,George Washington Carver High School For The Sciences,24%,87%,87%,97%,88%,97%,96%,97%,93%,92%,96%,90%,96%,92%,95%,91%,89%,91%,85%,,,,,,,,,,,,
29Q283,Preparatory Academy For Writers: A College Board School,2%,67%,83%,92%,70%,92%,82%,92%,83%,80%,83%,73%,83%,100%,100%,75%,92%,100%,100%,,,,,,,,,,,,
29Q289,Queens United Middle School,43%,90%,88%,96%,91%,95%,96%,91%,90%,91%,92%,88%,92%,90%,83%,91%,92%,92%,90%,,,,,,,,,,,,
29Q295,P.S./I.S. 295,98%,86%,90%,96%,91%,95%,88%,86%,89%,94%,84%,91%,88%,89%,97%,94%,92%,93%,85%,,,,,,,,,,,,
29Q313,Benjamin Franklin High School For Finance & Information Technology,17%,91%,89%,98%,91%,94%,100%,96%,96%,98%,93%,93%,100%,98%,93%,98%,98%,98%,85%,,,,,,,,,,,,
29Q326,Cambria Heights Academy,47%,89%,89%,97%,94%,96%,96%,94%,97%,91%,96%,92%,95%,95%,95%,96%,94%,96%,84%,,,,,,,,,,,,
