year,DBN,School Name,Total Parent Response Rate,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18
2019,13K113,M.S. 113 RONALD EDMONDS LEARNING CENTER,22%,94%,99%,100%,97%,91%,99%,96%,97%,98%,99%,97%,97%,97%,97%,100%,98%,99%,88%
2019,13K133,P.S. 133 WILLIAM A. BUTLER,58%,87%,88%,96%,91%,99%,92%,89%,93%,94%,87%,87%,93%,93%,96%,91%,93%,94%,93%
2019,13K256,P.S. 256 BENJAMIN BANNEKER,59%,92%,90%,95%,92%,94%,96%,92%,92%,93%,91%,95%,90%,92%,95%,96%,94%,92%,95%
2019,13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,11%,97%,97%,100%,93%,97%,97%,93%,93%,100%,100%,97%,96%,96%,97%,100%,97%,100%,93%
2019,13K266,M.S. K266 - PARK PLACE COMMUNITY MIDDLE SCHOOL,21%,87%,90%,90%,90%,93%,93%,86%,90%,90%,85%,90%,93%,89%,89%,90%,85%,89%,97%
2019,13K270,P.S. 270 JOHANN DEKALB,28%,95%,95%,100%,95%,100%,100%,100%,91%,100%,100%,95%,90%,100%,91%,95%,90%,100%,91%
2019,13K282,P.S. 282 PARK SLOPE,33%,83%,89%,96%,88%,96%,94%,90%,88%,93%,90%,89%,92%,92%,98%,90%,93%,92%,94%
2019,13K287,P.S. 287 BAILEY K. ASHFORD,91%,91%,90%,96%,93%,96%,90%,91%,94%,94%,91%,94%,93%,92%,98%,97%,92%,95%,93%
2019,13K301,SATELLITE EAST MIDDLE SCHOOL,48%,100%,100%,100%,98%,95%,93%,88%,88%,100%,90%,95%,98%,95%,97%,97%,97%,95%,90%
2019,13K305,P.S. 305 DR. PETER RAY,83%,97%,98%,99%,99%,98%,99%,99%,99%,98%,98%,96%,99%,99%,99%,100%,99%,98%,91%
2019,13K307,P.S. 307 DANIEL HALE WILLIAMS,32%,87%,90%,97%,85%,96%,88%,84%,80%,95%,75%,89%,89%,87%,95%,87%,98%,96%,89%
2019,13K313,DOCK STREET SCHOOL FOR STEAM STUDIES,43%,80%,77%,93%,83%,95%,95%,92%,90%,87%,90%,85%,92%,93%,96%,92%,94%,91%,89%
2019,13K350,URBAN ASSEMBLY SCHOOL FOR MUSIC AND ART,23%,95%,90%,93%,95%,98%,95%,95%,90%,97%,97%,98%,97%,95%,100%,100%,98%,100%,95%
2019,13K351,THE URBAN ASSEMBLY UNISON SCHOOL,64%,100%,100%,99%,99%,100%,99%,100%,98%,99%,99%,99%,100%,100%,99%,100%,99%,100%,98%
2019,13K412,BROOKLYN COMMUNITY ARTS & MEDIA HIGH SCHOOL (BCAM),33%,91%,91%,99%,96%,98%,98%,97%,97%,98%,96%,95%,97%,98%,96%,98%,96%,98%,86%
2019,13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",20%,86%,85%,92%,87%,96%,91%,88%,86%,95%,88%,85%,91%,90%,90%,93%,93%,96%,86%
2019,13K430,BROOKLYN TECHNICAL HIGH SCHOOL,58%,79%,79%,96%,86%,95%,95%,95%,94%,92%,91%,87%,95%,94%,97%,94%,95%,92%,64%
2019,13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,53%,95%,90%,96%,93%,96%,98%,95%,95%,99%,97%,97%,96%,97%,96%,99%,97%,97%,83%
2019,13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,44%,91%,91%,97%,95%,97%,97%,96%,97%,97%,95%,94%,96%,97%,97%,97%,96%,95%,88%
2019,13K492,ACADEMY OF ARTS AND LETTERS,77%,92%,92%,98%,93%,98%,94%,94%,90%,94%,89%,93%,96%,95%,97%,93%,94%,97%,94%
2019,13K499,ACORN COMMUNITY HIGH SCHOOL,3%,,,,,,,,,,,,,,,,,,
2019,13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,60%,90%,91%,96%,93%,95%,94%,94%,94%,96%,93%,93%,96%,96%,94%,98%,96%,96%,84%
2019,13K553,BROOKLYN ACADEMY HIGH SCHOOL,4%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
2019,13K594,GOTHAM PROFESSIONAL ARTS ACADEMY,12%,89%,89%,100%,95%,95%,89%,84%,83%,94%,94%,88%,94%,94%,83%,95%,94%,100%,89%
2019,13K595,BEDFORD ACADEMY HIGH SCHOOL,50%,90%,93%,96%,96%,96%,98%,98%,96%,98%,97%,94%,97%,96%,97%,96%,99%,97%,89%
2019,13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,33%,88%,89%,96%,92%,97%,97%,94%,96%,96%,94%,92%,95%,95%,94%,98%,94%,94%,81%
2019,13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,26%,92%,91%,100%,91%,96%,93%,89%,85%,90%,93%,85%,90%,90%,80%,87%,91%,93%,57%
2019,13K657,DOWNTOWN BROOKLYN YABC,6%,91%,82%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,80%
2019,13K670,BENJAMIN BANNEKER ACADEMY,19%,91%,90%,98%,94%,99%,98%,97%,97%,93%,93%,94%,97%,96%,98%,95%,95%,92%,90%
2019,13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",24%,84%,88%,94%,92%,97%,96%,96%,92%,96%,90%,94%,96%,92%,99%,97%,92%,96%,84%
2019,13K691,FORT GREENE PREPARATORY ACADEMY,23%,85%,89%,96%,93%,100%,100%,96%,98%,100%,96%,81%,95%,95%,96%,89%,85%,87%,89%
2019,14K016,P.S. 016 LEONARD DUNKLY,92%,96%,97%,99%,97%,99%,94%,93%,92%,99%,94%,94%,91%,94%,97%,99%,97%,99%,91%
2019,14K017,P.S. 017 HENRY D. WOODWORTH,76%,95%,96%,97%,95%,97%,95%,94%,94%,95%,92%,93%,93%,93%,95%,98%,97%,96%,92%
2019,14K018,P.S. 018 EDWARD BUSH,77%,90%,90%,98%,94%,98%,96%,95%,97%,95%,95%,95%,97%,96%,96%,96%,95%,94%,90%
2019,14K023,P.S. 023 CARTER G. WOODSON,67%,94%,94%,97%,97%,97%,97%,95%,97%,97%,98%,97%,97%,97%,98%,96%,99%,99%,93%
2019,14K031,P.S. 031 SAMUEL F. DUPONT,79%,93%,95%,99%,96%,98%,98%,98%,98%,97%,96%,96%,97%,97%,98%,99%,99%,98%,91%
2019,14K034,P.S. 034 OLIVER H. PERRY,94%,95%,94%,98%,95%,99%,95%,90%,90%,97%,91%,93%,92%,93%,96%,95%,96%,96%,93%
2019,14K050,J.H.S. 050 JOHN D. WELLS,73%,95%,94%,97%,97%,97%,98%,98%,97%,96%,97%,94%,98%,98%,96%,99%,99%,99%,92%
2019,14K059,P.S. 059 WILLIAM FLOYD,100%,98%,97%,99%,98%,99%,99%,98%,98%,99%,98%,98%,99%,98%,99%,100%,100%,99%,97%
2019,14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,96%,96%,98%,99%,98%,99%,99%,97%,97%,98%,98%,99%,98%,99%,90%,100%,99%,99%,98%
2019,14K084,P.S. 084 JOSE DE DIEGO,59%,91%,94%,98%,95%,99%,93%,92%,91%,96%,89%,93%,94%,97%,98%,95%,95%,96%,95%
2019,14K110,P.S. 110 THE MONITOR,82%,92%,93%,98%,94%,99%,96%,94%,96%,96%,90%,93%,95%,96%,97%,96%,95%,98%,88%
2019,14K120,P.S. 120 CARLOS TAPIA,100%,94%,94%,96%,95%,96%,97%,97%,96%,96%,97%,95%,97%,95%,97%,97%,97%,96%,92%
2019,14K126,JOHN ERICSSON MIDDLE SCHOOL 126,75%,96%,96%,98%,98%,98%,98%,96%,97%,98%,94%,97%,95%,96%,98%,97%,97%,97%,90%
2019,14K132,P.S. 132 THE CONSELYEA SCHOOL,49%,89%,93%,96%,92%,97%,93%,90%,92%,95%,88%,90%,93%,93%,97%,96%,93%,95%,95%
2019,14K147,P.S. 147 ISAAC REMSEN,83%,95%,96%,98%,97%,99%,98%,97%,98%,98%,95%,96%,98%,97%,97%,98%,96%,96%,97%
2019,14K157,P.S./I.S. 157 THE BENJAMIN FRANKLIN HEALTH & SCIENCE ACADEMY,38%,89%,90%,96%,90%,96%,89%,88%,87%,90%,82%,90%,89%,90%,92%,94%,95%,95%,93%
2019,14K196,P.S. 196 TEN EYCK,75%,95%,95%,97%,96%,98%,98%,97%,98%,98%,98%,97%,98%,98%,99%,99%,98%,99%,93%
2019,14K250,P.S. 250 GEORGE H. LINDSAY,68%,91%,93%,95%,94%,98%,93%,89%,89%,96%,91%,94%,90%,94%,94%,95%,94%,97%,93%
2019,14K257,P.S. 257 JOHN F. HYLAN,82%,96%,97%,98%,96%,98%,97%,97%,97%,97%,96%,97%,97%,97%,97%,97%,98%,99%,95%
2019,14K297,P.S. 297 ABRAHAM STOCKTON,87%,95%,96%,98%,98%,96%,98%,98%,96%,95%,95%,98%,98%,97%,98%,98%,98%,99%,96%
2019,14K318,I.S. 318 EUGENIO MARIA DE HOSTOS,60%,89%,89%,97%,93%,94%,97%,95%,96%,95%,95%,94%,98%,96%,97%,95%,95%,96%,87%
2019,14K319,P.S. 319,98%,99%,99%,99%,100%,100%,99%,99%,99%,99%,99%,100%,100%,100%,100%,100%,99%,99%,99%
2019,14K380,P.S. 380 JOHN WAYNE ELEMENTARY,100%,97%,97%,99%,96%,98%,97%,96%,96%,96%,95%,97%,96%,96%,97%,98%,98%,99%,95%
2019,14K414,BROOKLYN ARBOR ELEMENTARY SCHOOL,54%,98%,97%,99%,98%,99%,98%,97%,98%,98%,95%,96%,97%,98%,99%,99%,95%,97%,96%
2019,14K449,"BROOKLYN LATIN SCHOOL, THE",23%,79%,88%,96%,88%,94%,94%,95%,93%,98%,97%,91%,93%,91%,97%,93%,93%,95%,83%
2019,14K454,THE WILLIAMSBURG HIGH SCHOOL OF ART AND TECHNOLOGY,21%,84%,91%,96%,96%,96%,95%,93%,93%,96%,96%,92%,94%,94%,90%,94%,91%,96%,85%
2019,14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,2%,86%,85%,92%,85%,100%,100%,100%,93%,83%,100%,92%,92%,91%,100%,93%,92%,100%,93%
2019,14K477,EAST WILLIAMSBURG SCHOLARS ACADEMY,24%,87%,95%,98%,95%,100%,98%,97%,97%,96%,95%,88%,95%,95%,98%,98%,98%,95%,97%
2019,14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",28%,83%,85%,94%,89%,94%,96%,91%,90%,92%,87%,91%,91%,89%,95%,93%,94%,94%,79%
2019,14K488,BROOKLYN PREPARATORY HIGH SCHOOL,19%,94%,99%,100%,97%,100%,96%,97%,97%,99%,98%,100%,99%,99%,96%,100%,100%,100%,88%
2019,14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,58%,86%,88%,96%,91%,96%,93%,91%,92%,95%,92%,94%,94%,93%,94%,97%,96%,96%,81%
2019,14K561,WILLIAMSBURG PREPARATORY SCHOOL,28%,90%,94%,98%,96%,96%,96%,95%,96%,97%,94%,94%,95%,94%,96%,94%,97%,97%,85%
2019,14K577,CONSELYEA PREPARATORY SCHOOL,93%,90%,90%,96%,91%,97%,96%,96%,96%,96%,94%,95%,96%,95%,97%,98%,96%,96%,85%
2019,14K582,M.S. 582,54%,89%,88%,95%,92%,96%,96%,96%,96%,94%,96%,94%,97%,98%,97%,95%,95%,96%,92%
2019,14K586,LYONS COMMUNITY SCHOOL,19%,95%,93%,100%,100%,100%,97%,97%,100%,97%,94%,96%,94%,93%,96%,99%,97%,99%,86%
2019,14K610,AUTOMOTIVE HIGH SCHOOL,26%,95%,95%,99%,100%,97%,99%,92%,94%,97%,91%,93%,97%,99%,96%,97%,96%,99%,87%
2019,14K614,YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,73%,59%,72%,76%,71%,74%,69%,67%,69%,85%,84%,90%,92%,91%,50%,68%,70%,75%,88%
2019,14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,26%,94%,98%,100%,100%,100%,100%,98%,98%,98%,100%,100%,100%,100%,98%,98%,98%,100%,93%
2019,14K923,AUTOMOTIVE HIGH SCHOOL YABC,3%,,,,,,,,,,,,,,,,,,
2019,15K001,P.S. 001 THE BERGEN,53%,94%,95%,98%,95%,97%,96%,94%,95%,96%,93%,94%,95%,95%,95%,96%,97%,97%,92%
2019,15K010,"MAGNET SCHOOL OF MATH, SCIENCE AND DESIGN TECHNOLOGY",38%,90%,92%,98%,94%,99%,96%,93%,96%,95%,92%,94%,97%,98%,97%,97%,97%,96%,93%
2019,15K015,P.S. 015 PATRICK F. DALY,48%,87%,86%,97%,95%,97%,97%,95%,94%,93%,94%,91%,97%,95%,95%,97%,92%,94%,95%
2019,15K024,P.S. 024,43%,90%,94%,97%,95%,96%,94%,93%,95%,96%,92%,94%,95%,93%,96%,95%,95%,97%,92%
2019,15K029,P.S. 029 JOHN M. HARRIGAN,65%,96%,95%,98%,98%,99%,98%,98%,99%,97%,96%,94%,97%,98%,96%,98%,96%,97%,96%
2019,15K032,P.S. 032 SAMUEL MILLS SPROLE,73%,93%,94%,96%,93%,98%,93%,93%,92%,95%,90%,93%,93%,94%,94%,95%,97%,96%,92%
2019,15K038,P.S. 038 THE PACIFIC,44%,91%,93%,99%,93%,96%,97%,95%,96%,95%,97%,91%,98%,97%,95%,93%,95%,99%,94%
2019,15K039,P.S. 039 HENRY BRISTOW,66%,92%,94%,98%,92%,99%,91%,85%,86%,97%,84%,95%,93%,93%,100%,98%,94%,95%,95%
2019,15K051,M.S. 51 WILLIAM ALEXANDER,45%,72%,75%,95%,80%,95%,93%,93%,93%,81%,82%,81%,90%,88%,97%,90%,93%,90%,91%
2019,15K058,P.S. 058 THE CARROLL,73%,92%,92%,97%,93%,99%,92%,93%,93%,95%,88%,93%,93%,95%,97%,96%,95%,96%,96%
2019,15K088,J.H.S. 088 PETER ROUGET,36%,87%,91%,96%,90%,94%,95%,95%,93%,95%,92%,93%,94%,93%,94%,94%,95%,96%,83%
2019,15K094,P.S. 094 THE HENRY LONGFELLOW,95%,97%,98%,99%,99%,99%,98%,97%,96%,99%,98%,98%,97%,97%,99%,98%,97%,98%,93%
2019,15K107,P.S. 107 JOHN W. KIMBALL,80%,92%,91%,98%,95%,99%,94%,95%,95%,95%,92%,94%,97%,98%,99%,98%,95%,95%,96%
2019,15K118,THE MAURICE SENDAK COMMUNITY SCHOOL,75%,91%,93%,98%,96%,100%,93%,96%,93%,97%,88%,93%,96%,96%,99%,97%,94%,92%,94%
2019,15K124,P.S. 124 SILAS B. DUTCHER,100%,97%,97%,98%,95%,100%,94%,95%,95%,96%,92%,93%,96%,95%,97%,97%,98%,97%,90%
2019,15K130,P.S. 130 THE PARKSIDE,63%,91%,91%,97%,94%,98%,96%,95%,97%,96%,94%,95%,98%,97%,98%,97%,97%,95%,93%
2019,15K131,P.S. 131 BROOKLYN,89%,95%,96%,98%,96%,98%,97%,96%,96%,98%,96%,97%,97%,96%,99%,96%,97%,98%,93%
2019,15K136,I.S. 136 CHARLES O. DEWEY,54%,96%,98%,99%,97%,100%,100%,100%,100%,99%,99%,97%,99%,99%,100%,99%,99%,99%,87%
2019,15K146,"THE BROOKLYN NEW SCHOOL, P.S. 146",49%,96%,98%,99%,98%,99%,99%,99%,99%,99%,97%,98%,99%,99%,99%,99%,98%,99%,97%
2019,15K154,THE WINDSOR TERRACE SCHOOL,57%,94%,94%,98%,97%,100%,100%,99%,98%,97%,99%,94%,100%,100%,100%,99%,96%,97%,95%
2019,15K169,P.S. 169 SUNSET PARK,85%,93%,95%,98%,96%,98%,96%,94%,95%,96%,95%,95%,95%,97%,96%,97%,95%,96%,90%
2019,15K172,P.S. 172 BEACON SCHOOL OF EXCELLENCE,100%,97%,97%,97%,97%,99%,98%,97%,97%,97%,97%,97%,97%,98%,98%,98%,98%,97%,96%
2019,15K230,P.S. 230 DORIS L. COHEN,49%,95%,95%,97%,96%,98%,96%,97%,97%,97%,96%,94%,98%,97%,98%,99%,97%,97%,93%
2019,15K261,P.S. 261 PHILIP LIVINGSTON,57%,90%,92%,98%,96%,99%,95%,95%,94%,96%,91%,95%,98%,97%,98%,97%,95%,97%,95%
2019,15K295,P.S. 295,60%,92%,92%,99%,97%,100%,97%,97%,95%,97%,96%,94%,99%,99%,98%,96%,95%,96%,93%
2019,15K321,P.S. 321 WILLIAM PENN,51%,96%,96%,99%,99%,99%,99%,99%,99%,98%,97%,96%,99%,99%,98%,97%,98%,97%,96%
2019,15K418,P.S. 372 -THE CHILDREN'S SCHOOL,56%,91%,93%,99%,95%,99%,94%,93%,90%,97%,88%,96%,92%,93%,98%,97%,96%,97%,93%
2019,15K423,BROOKLYN FRONTIERS HIGH SCHOOL,15%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
2019,15K429,DIGITAL ARTS AND CINEMA TECHNOLOGY HIGH SCHOOL,66%,95%,94%,99%,97%,99%,99%,99%,97%,94%,94%,94%,98%,98%,97%,99%,97%,97%,85%
2019,15K442,M.S. 442 CARROLL GARDENS SCHOOL FOR INNOVATION,42%,86%,90%,98%,91%,98%,99%,97%,97%,95%,96%,93%,97%,91%,97%,94%,96%,96%,89%
2019,15K443,NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS,48%,82%,86%,97%,87%,98%,95%,95%,96%,92%,91%,88%,96%,93%,99%,94%,96%,97%,86%
2019,15K447,THE MATH & SCIENCE EXPLORATORY SCHOOL,73%,93%,91%,99%,96%,99%,98%,98%,99%,97%,97%,97%,98%,98%,99%,98%,97%,97%,90%
2019,15K448,BROOKLYN COLLABORATIVE STUDIES,28%,92%,93%,99%,93%,99%,96%,94%,94%,95%,93%,94%,98%,98%,96%,98%,94%,97%,90%
2019,15K462,JOHN JAY SCHOOL FOR LAW,24%,75%,81%,95%,79%,92%,95%,86%,85%,84%,85%,88%,89%,83%,90%,91%,91%,90%,77%
2019,15K463,SECONDARY SCHOOL FOR JOURNALISM,14%,91%,91%,97%,87%,97%,94%,94%,94%,97%,97%,97%,96%,97%,97%,93%,93%,96%,77%
2019,15K464,PARK SLOPE COLLEGIATE,17%,86%,91%,98%,91%,99%,96%,96%,92%,94%,94%,93%,97%,93%,89%,92%,92%,95%,83%
2019,15K497,THE BOERUM HILL SCHOOL FOR INTERNATIONAL STUDIES,39%,78%,85%,97%,88%,98%,95%,92%,93%,94%,92%,87%,95%,93%,93%,90%,93%,95%,86%
2019,15K516,SUNSET PARK AVENUES ELEMENTARY SCHOOL,66%,94%,95%,99%,95%,98%,98%,97%,98%,96%,96%,96%,98%,98%,98%,97%,97%,97%,89%
2019,15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,30%,95%,95%,99%,98%,97%,90%,89%,85%,97%,93%,95%,92%,91%,95%,97%,97%,99%,92%
2019,15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,57%,85%,87%,88%,84%,93%,88%,81%,81%,87%,86%,87%,87%,89%,95%,95%,90%,86%,60%
2019,15K592,KHALIL GIBRAN INTERNATIONAL ACADEMY,43%,94%,99%,98%,94%,99%,100%,99%,98%,100%,98%,89%,100%,99%,98%,100%,99%,97%,71%
2019,15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,23%,92%,92%,98%,90%,98%,97%,96%,97%,97%,97%,93%,97%,95%,94%,97%,97%,98%,95%
2019,15K667,SUNSET PARK HIGH SCHOOL,28%,91%,92%,98%,96%,97%,98%,96%,94%,95%,96%,95%,97%,95%,97%,97%,97%,98%,79%
2019,15K676,RED HOOK NEIGHBORHOOD SCHOOL,100%,98%,93%,94%,95%,93%,96%,97%,96%,99%,95%,94%,97%,98%,96%,99%,98%,96%,76%
2019,15K684,MILLENNIUM BROOKLYN HS,54%,92%,92%,98%,95%,98%,99%,98%,99%,95%,96%,94%,98%,95%,95%,98%,98%,98%,77%
2019,15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,38%,96%,96%,98%,100%,100%,100%,100%,100%,98%,96%,98%,100%,100%,100%,100%,100%,100%,89%
2019,15K821,SUNSET PARK PREP,32%,90%,93%,97%,95%,97%,98%,97%,98%,95%,94%,95%,96%,95%,95%,97%,97%,100%,86%
2019,15K839,M.S. 839,40%,81%,85%,94%,90%,96%,93%,94%,93%,90%,91%,91%,91%,91%,97%,94%,95%,98%,92%
2019,15K863,PRE-K CENTER AT BISHOP FORD SCHOOL SITE,30%,88%,95%,98%,95%,97%,97%,96%,98%,96%,94%,98%,97%,98%,99%,95%,95%,95%,94%
2019,15K896,P.S. 896,85%,96%,96%,96%,96%,96%,96%,96%,96%,92%,92%,92%,93%,93%,93%,93%,89%,88%,93%
2019,16K005,P.S. 005 DR. RONALD MCNAIR,58%,87%,90%,96%,92%,98%,95%,91%,92%,98%,90%,94%,95%,98%,96%,93%,91%,89%,95%
2019,16K021,P.S. 021 CRISPUS ATTUCKS,98%,96%,96%,97%,98%,98%,98%,97%,97%,96%,96%,97%,97%,97%,98%,98%,99%,98%,93%
2019,16K025,P.S. 025 EUBIE BLAKE SCHOOL,61%,86%,86%,91%,86%,86%,86%,81%,81%,89%,83%,91%,85%,91%,86%,100%,97%,100%,97%
2019,16K026,P.S. 026 JESSE OWENS,59%,95%,95%,98%,98%,99%,97%,97%,98%,98%,94%,97%,98%,98%,98%,98%,98%,98%,99%
2019,16K028,P.S. 028 THE WARREN PREP ACADEMY,82%,96%,92%,100%,95%,96%,92%,91%,90%,99%,93%,99%,99%,97%,99%,97%,96%,99%,93%
2019,16K035,M.S. 035 STEPHEN DECATUR,92%,98%,98%,98%,97%,98%,97%,97%,98%,99%,98%,98%,98%,98%,98%,98%,98%,99%,98%
2019,16K040,P.S. 040 GEORGE W. CARVER,31%,90%,95%,98%,95%,95%,99%,98%,98%,99%,98%,95%,97%,98%,97%,99%,99%,99%,99%
2019,16K057,J.H.S. 057 WHITELAW REID,47%,97%,90%,98%,98%,97%,98%,95%,95%,94%,97%,95%,97%,97%,94%,98%,97%,92%,89%
2019,16K081,P.S. 081 THADDEUS STEVENS,80%,95%,91%,92%,90%,92%,92%,89%,90%,94%,94%,95%,95%,95%,94%,92%,93%,94%,92%
2019,16K243,P.S. 243K- THE WEEKSVILLE SCHOOL,53%,93%,97%,96%,93%,95%,92%,91%,94%,96%,91%,94%,96%,93%,95%,96%,97%,97%,95%
2019,16K262,P.S. 262 EL HAJJ MALIK EL SHABAZZ ELEMENTARY SCHOOL,55%,97%,96%,99%,96%,99%,97%,95%,96%,96%,94%,97%,97%,99%,99%,99%,93%,96%,97%
2019,16K267,"M.S. 267 MATH, SCIENCE & TECHNOLOGY",73%,95%,97%,97%,96%,99%,99%,99%,99%,99%,97%,99%,97%,98%,99%,100%,98%,100%,93%
2019,16K308,P.S. 308 CLARA CARDWELL,71%,97%,94%,96%,93%,97%,96%,94%,97%,94%,96%,94%,93%,93%,94%,96%,91%,91%,91%
2019,16K309,P.S. 309 THE GEORGE E. WIBECAN PREPARATORY ACADEMY,66%,96%,96%,97%,99%,100%,99%,98%,99%,97%,98%,98%,97%,99%,99%,99%,96%,96%,97%
2019,16K335,P.S. 335 GRANVILLE T. WOODS,58%,92%,94%,98%,95%,95%,93%,90%,92%,96%,93%,95%,93%,93%,97%,97%,94%,98%,92%
2019,16K455,BOYS AND GIRLS HIGH SCHOOL,43%,98%,96%,99%,98%,100%,96%,96%,98%,99%,96%,98%,98%,98%,98%,99%,98%,99%,82%
2019,16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,23%,82%,89%,95%,92%,96%,96%,94%,95%,95%,88%,91%,93%,90%,91%,88%,93%,93%,85%
2019,16K627,BRIGHTER CHOICE COMMUNITY SCHOOL,49%,90%,91%,96%,95%,95%,96%,91%,87%,96%,94%,94%,94%,97%,96%,94%,94%,95%,94%
2019,16K628,BROOKLYN BROWNSTONE SCHOOL,75%,92%,94%,99%,94%,98%,94%,92%,94%,95%,93%,94%,93%,94%,97%,98%,98%,99%,94%
2019,16K669,RESEARCH AND SERVICE HIGH SCHOOL,10%,92%,88%,88%,100%,100%,100%,100%,100%,90%,100%,89%,100%,100%,100%,100%,100%,100%,78%
2019,16K681,MADIBA PREP MIDDLE SCHOOL,54%,98%,98%,97%,99%,98%,98%,99%,98%,99%,98%,98%,99%,98%,96%,99%,97%,97%,99%
2019,16K688,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,53%,96%,96%,96%,100%,100%,100%,98%,96%,100%,98%,96%,98%,98%,95%,100%,98%,100%,79%
2019,16K765,NELSON MANDELA HIGH SCHOOL,15%,84%,82%,97%,94%,100%,100%,84%,90%,90%,94%,90%,97%,97%,90%,82%,90%,91%,97%
2019,16K898,M.S. 898,71%,96%,100%,100%,100%,100%,100%,100%,100%,96%,100%,100%,100%,100%,100%,100%,100%,100%,96%
2019,16K959,BOYS AND GIRLS YABC,19%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
2019,17K002,PARKSIDE PREPARATORY ACADEMY,61%,91%,89%,97%,94%,98%,95%,92%,93%,93%,94%,93%,95%,95%,96%,95%,94%,95%,86%
2019,17K006,NORMA ADAMS CLEMONS ACADEMY,44%,90%,90%,98%,92%,96%,96%,94%,95%,94%,92%,92%,97%,96%,98%,93%,93%,96%,92%
2019,17K012,DR. JACQUELINE PEEK-DAVIS SCHOOL,47%,86%,87%,94%,90%,95%,94%,91%,92%,93%,87%,91%,94%,95%,94%,92%,85%,90%,83%
2019,17K061,M.S. 061 DR. GLADSTONE H. ATWELL,42%,84%,88%,96%,88%,95%,94%,91%,90%,93%,91%,91%,95%,94%,94%,91%,92%,94%,86%
2019,17K091,P.S. 091 THE ALBANY AVENUE SCHOOL,94%,91%,88%,92%,93%,94%,91%,91%,92%,93%,90%,94%,93%,93%,92%,93%,95%,94%,89%
2019,17K092,P.S. 092 ADRIAN HEGEMAN,45%,92%,93%,96%,94%,95%,96%,96%,95%,98%,95%,97%,99%,99%,99%,96%,96%,97%,93%
2019,17K122,PATHWAYS IN TECHNOLOGY EARLY COLLEGE HIGH SCHOOL (P-TECH),59%,94%,93%,98%,97%,98%,99%,98%,98%,99%,100%,97%,99%,99%,98%,98%,99%,98%,95%
2019,17K138,P.S. 138 BROOKLYN,48%,97%,97%,99%,97%,99%,99%,96%,97%,99%,97%,97%,97%,97%,98%,98%,99%,98%,96%
2019,17K161,P.S. 161 THE CROWN,39%,95%,96%,99%,95%,98%,98%,96%,96%,97%,97%,95%,95%,94%,97%,98%,96%,97%,98%
2019,17K181,P.S. 181 BROOKLYN,38%,89%,92%,96%,92%,97%,96%,96%,95%,94%,94%,96%,97%,97%,97%,95%,95%,95%,90%
2019,17K189,P.S. 189 THE BILINGUAL CENTER,62%,90%,93%,97%,93%,97%,97%,96%,97%,96%,95%,94%,96%,97%,96%,95%,94%,94%,92%
2019,17K191,P.S. 191 PAUL ROBESON,58%,92%,96%,97%,96%,99%,97%,99%,99%,99%,99%,94%,99%,97%,99%,99%,96%,97%,90%
2019,17K221,P.S. 221 TOUSSAINT L'OUVERTURE,68%,94%,98%,100%,95%,99%,98%,94%,93%,96%,94%,92%,94%,97%,92%,96%,95%,98%,90%
2019,17K241,P.S. 241 EMMA L. JOHNSTON,65%,91%,94%,98%,93%,99%,96%,93%,95%,97%,92%,97%,95%,96%,97%,95%,97%,98%,90%
